time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1564084117.32,-6.671148239e-05,0.088777750472,0.974024127,-11.6046980167,2.52806123634,-34.2229649975,-1.09300092748,1454.53466373,15958.4112968,-1520.21544019,331.176021961,-4483.20841467
1564084117.44,-0.000523907521651,0.0873706785498,0.970420542425,-8.59689997075,4.23556045622,-34.5647906351,-8.58370083473,1431.48119736,15899.3701671,-1126.19389617,554.858419765,-4527.9875732
1564084117.55,0.00153043635551,0.0789021653823,0.970082589745,-6.54408020269,4.88528685335,-34.8899909609,25.0746692487,1292.73307762,15893.8331504,-857.274506552,639.972577788,-4570.58881588
1564084117.66,-0.00301713853004,0.0748693707191,0.971853627645,-5.38432867097,6.56469709931,-35.1216025519,-49.4327976761,1226.65976986,15922.8498353,-705.347055897,859.97532001,-4600.92993429
1564084117.78,-0.013408784052,0.0736812617722,0.969175100818,-4.47414007868,6.78532662602,-33.3895949684,-219.689517909,1207.19379288,15878.9648518,-586.112350307,888.877788009,-4374.03694086
1564084117.89,-0.0170239603343,0.0690719246575,0.967399192299,-4.14657339906,6.14190846724,-30.2857499754,-278.920566118,1131.67441359,15849.8683666,-543.201115276,804.590009208,-3967.43324678
1564084118.0,-0.0215959783634,0.0645084821917,0.963066499631,-5.28535117365,5.1315344144,-27.6129001687,-353.828509506,1056.90697223,15778.88153,-692.381003749,672.231008287,-3617.2899221
1564084118.12,-0.0425809117771,0.0638193527226,0.936828209043,-3.1529992624,3.23059471342,-20.5065719839,-697.645658555,1045.61627501,15348.993377,-413.042903374,423.207907458,-2686.36092989
1564084118.23,-0.0500903987244,0.0614901518253,0.941070192826,-3.25983674074,2.65944363903,-16.2986628771,-820.6810927,1007.45464751,15418.4940393,-427.038613036,348.387116712,-2135.1248369
1564084118.34,-0.0566047963519,0.0619085194553,0.945083290731,-3.54759352468,2.5049496568,-5.35276605504,-927.41298343,1014.30918276,15484.2446353,-464.734751733,328.148405041,-701.21235321
1564084118.45,-0.0603437307792,0.0614061440722,0.946229258533,-5.49359753099,2.24758446212,1.31075482527,-988.671685087,1006.07826448,15503.0201718,-719.66127656,294.433564537,171.708882111
1564084118.56,-0.0629763498888,0.06117373279,0.947236215492,-5.02286373209,2.24954357316,6.58044270152,-1031.80451658,1002.27043803,15519.5181546,-657.995148904,294.690208083,862.0379939
1564084118.67,-0.0676406289624,0.060232140761,0.949314351756,-3.4984399543,0.683367841794,8.16743659931,-1108.22406492,986.843394229,15553.5663392,-458.295634013,89.5211872751,1069.93419451
1564084118.79,-0.0662232457537,0.0633642001224,0.950232525955,-2.82111504284,0.15090892021,9.01099828289,-1085.00165843,1038.15905481,15568.6097052,-369.566070612,19.7690685476,1180.44077506
1564084118.9,-0.0710511164908,0.0579311004227,0.958651656172,-4.61839285153,0.577802761014,6.10073814926,-1164.10149259,949.143149325,15706.5487347,-605.009463551,75.6921616928,799.196697553
1564084119.01,-0.0741999110917,0.0625383810054,0.968816763992,-5.52601921523,-1.15402331661,6.3631834183,-1215.69134333,1024.62883439,15873.0938613,-723.908517196,-151.177054476,833.577027798
1564084119.12,-0.0757642949826,0.0580423554049,0.969762236031,-6.85433332424,-0.929460679609,5.99938416044,-1241.32220899,950.965950953,15888.5844751,-897.917665476,-121.759349029,785.919325018
1564084119.23,-0.0730462639218,0.0553875339269,0.968977418678,-6.08340380861,-0.938804687984,6.62539994287,-1196.78998809,907.469355858,15875.7260276,-796.925898928,-122.983414126,867.927392516
1564084119.35,-0.0732611687796,0.0530958508467,0.968930262747,-5.72620846592,-0.886145593232,6.99721109362,-1200.31098929,869.922420272,15874.9534249,-750.133309036,-116.085072713,916.634653264
1564084119.46,-0.0715502862767,0.0521075548245,0.969229619285,-5.24366395521,-1.09447759879,6.23718464075,-1172.27989036,853.730178245,15879.8580824,-686.919978132,-143.376565442,817.071187938
